default,student,balance,income
No,No,1037.01,36622.79
No,Yes,1827.13,19616.01
No,No,764.51,37869.21
No,No,589.54,28237.82
No,No,754.13,41341.80
No,No,911.93,41249.28
No,No,311.92,39694.48
No,Yes,933.29,20694.59
Yes,No,1374.47,35805.71
No,Yes,322.31,10056.11
No,Yes,703.84,19318.06
No,Yes,534.69,18729.57
No,No,0.00,26626.49
No,No,770.52,44509.58
No,No,1015.73,31820.94
No,No,421.15,61655.35
No,No,1125.09,33564.08
No,No,857.38,28755.18
No,No,363.94,46155.54
No,No,1157.78,32219.83
No,No,993.30,28501.86
No,Yes,403.46,15333.88
Yes,Yes,2134.93,20330.86
No,Yes,1234.94,26919.12
No,Yes,805.10,22174.03
No,No,0.00,41933.10
No,Yes,157.51,24506.19
No,No,257.90,39477.03
No,No,1056.92,53080.59
No,No,0.00,48290.85
No,Yes,1730.29,19446.68
No,No,694.50,14150.91
No,No,1546.76,32928.64
No,No,428.67,45570.79
No,Yes,1764.53,18148.52
No,Yes,1181.98,17223.37
No,No,943.13,30178.73
No,No,0.00,41234.89
No,No,1087.19,54961.29
No,No,14.82,32320.27
No,No,0.00,47207.05
No,No,836.01,40178.93
No,No,1494.52,42280.41
No,Yes,1318.53,15821.15
No,No,431.13,37772.80
No,No,1335.47,45847.38
No,No,1141.44,27914.40
No,No,795.12,38710.38
No,No,1005.44,40615.34
No,No,481.24,49010.76
No,No,427.34,27260.74
No,Yes,1157.59,17996.90
No,No,890.21,43643.58
No,Yes,1321.33,20302.22
No,No,1167.94,57256.01
No,Yes,1197.17,10834.11
No,Yes,922.89,22988.84
No,No,834.71,28553.47
No,Yes,1264.59,14649.16
No,No,1603.67,25802.30
No,No,838.28,55082.32
No,Yes,850.68,21251.64
No,Yes,1508.31,17645.31
No,No,1272.48,34570.57
No,No,981.84,23636.98
No,No,487.70,46480.04
No,No,1046.42,47598.31
No,No,1533.92,42888.64
No,No,709.95,37302.62
No,Yes,1610.02,19649.48
No,Yes,645.69,14211.15
No,No,377.71,46729.33
No,No,994.99,39315.96
No,No,1240.67,57303.79
No,No,736.59,37031.48
No,No,1201.23,46478.15
No,Yes,647.37,16897.79
No,No,1161.24,52064.47
No,Yes,1521.91,21370.79
No,No,805.52,43383.71
No,No,1155.40,34539.56
No,No,613.11,38632.13
No,No,623.96,46188.29
No,No,1000.90,46469.10
No,Yes,807.75,18760.35
No,No,1156.04,38295.57
No,No,637.28,32885.70
No,Yes,1241.69,20105.07
No,No,741.19,31104.00
No,No,1169.83,39386.37
No,No,0.00,35821.79
No,No,1088.30,33673.36
No,Yes,0.00,22187.97
No,No,608.95,26463.37
No,Yes,431.30,15606.25
No,No,512.65,39631.70
No,Yes,1241.62,12058.60
No,No,0.00,53058.26
No,No,561.43,37884.96
No,No,245.24,35132.22
No,No,1081.06,34138.32
No,No,492.33,42317.24
No,No,1349.57,50645.29
No,Yes,1150.43,11666.99
No,No,357.87,42499.03
No,No,331.11,45104.82
No,Yes,1457.67,20042.86
No,Yes,852.31,15956.65
No,No,1378.94,43998.14
No,Yes,1005.52,22128.08
No,No,1420.99,34126.42
No,No,570.30,30615.33
No,Yes,1228.99,17304.64
No,Yes,1142.94,20942.00
No,No,759.35,32066.71
No,No,846.68,41651.22
Yes,No,2133.46,28237.88
No,No,354.57,30954.48
No,No,0.00,46450.97
No,No,1051.40,30072.75
No,No,0.00,41371.66
No,No,887.47,30563.77
No,No,688.11,20098.59
No,No,1257.34,40810.17
No,No,1175.82,41447.58
No,No,0.00,34838.44
No,No,608.55,22555.51
No,No,0.00,32608.49
Yes,Yes,2110.56,19345.10
No,No,696.90,38713.32
No,No,559.47,61187.81
No,No,715.39,49473.38
No,Yes,2026.86,20469.93
No,Yes,1187.36,24267.40
No,No,785.79,42887.59
No,No,845.92,42799.44
No,Yes,1032.67,13901.12
No,No,861.27,38111.03
No,No,1601.88,27885.16
No,No,955.93,10836.72
No,Yes,877.88,18217.61
No,No,1043.76,31523.69
No,Yes,1080.07,11239.53
No,No,589.22,47722.17
No,Yes,769.53,23048.54
No,No,951.05,33326.59
No,No,1189.16,36223.87
No,No,1709.34,35290.52
No,Yes,1402.55,16607.56
No,No,250.88,51662.23
No,No,681.42,26426.23
No,No,1333.25,39196.66
No,No,858.76,29150.34
No,Yes,992.78,14204.67
No,No,265.30,32276.46
No,No,754.48,31592.20
No,Yes,584.08,24440.02
No,No,1175.23,47684.46
No,No,1388.66,31021.55
No,No,410.10,37328.46
No,No,59.13,34162.24
No,Yes,1939.71,13836.99
No,No,886.15,24466.13
No,No,771.00,40990.62
No,Yes,306.41,13594.19
No,No,1022.10,37095.22
No,No,847.98,24950.53
No,No,1596.23,42993.58
No,Yes,1635.22,8531.04
No,No,0.00,45217.85
No,No,1306.80,48799.51
No,No,932.95,35858.19
No,Yes,1052.88,13486.15
No,Yes,1304.63,13496.88
No,Yes,2052.13,13130.65
No,No,1216.73,52377.85
No,No,526.47,44241.57
No,No,153.45,36813.20
No,No,905.64,47271.35
No,No,1068.87,41690.05
No,No,0.00,30049.10
No,Yes,992.44,14207.27
No,No,964.60,36676.57
No,No,493.64,43524.25
No,No,835.66,44234.17
No,No,480.09,57068.13
No,No,637.60,52347.76
No,Yes,2134.02,17897.65
No,No,1475.21,42243.18
No,No,887.34,55751.72
No,No,1376.31,43234.14
No,No,1304.70,45162.65
No,No,225.51,54534.71
No,No,1261.27,39984.53
No,Yes,30.58,16246.57
No,Yes,437.04,16261.21
No,No,922.64,52205.51
No,No,412.75,44650.08
No,No,693.10,54492.75
No,Yes,915.46,27283.32
No,Yes,1322.49,22930.45
No,No,1610.09,40499.00
No,No,1113.13,27110.60
No,No,0.00,47803.26
No,No,1163.15,44424.83
No,No,924.30,26397.60
Yes,Yes,1983.23,25687.93
No,No,725.70,49337.40
No,Yes,1030.50,16662.73
No,Yes,1038.98,13739.72
No,Yes,292.86,15220.94
No,Yes,495.11,14881.84
No,No,659.04,47942.25
No,No,291.97,48511.60
No,No,471.36,45573.31
No,No,855.82,56219.81
No,No,918.68,48160.52
No,No,1251.32,37881.82
Yes,No,1066.88,44918.41
No,Yes,1427.12,12553.89
No,Yes,1263.88,12418.81
No,Yes,1128.14,10159.24
No,No,694.40,36570.43
No,Yes,805.40,17902.58
No,No,519.52,39704.69
No,Yes,1051.30,16299.61
No,No,421.90,37323.76
No,Yes,622.41,13072.03
No,Yes,1005.26,21394.12
No,Yes,537.49,9421.71
No,Yes,190.00,24716.96
No,No,309.86,56100.05
No,No,969.45,33411.80
No,Yes,775.59,17030.58
No,No,1296.47,48682.37
No,No,1037.16,38490.38
No,No,978.65,25742.12
No,No,965.05,47987.32
No,Yes,816.04,17894.79
No,Yes,716.19,7997.62
No,No,1130.61,43936.65
No,No,383.70,41311.24
No,No,1008.15,20326.59
No,No,652.82,41161.86
No,Yes,1232.79,16279.19
No,No,803.22,52869.81
No,Yes,1443.43,22693.66
No,Yes,1288.45,21216.96
No,No,0.00,43193.23
No,Yes,1053.33,10212.50
No,Yes,744.79,22343.10
No,No,412.69,33923.46
No,No,943.40,35281.73
No,No,1192.97,39504.48
No,Yes,1071.51,11082.06
No,No,1493.27,41005.22
No,Yes,1132.84,15703.03
No,Yes,597.48,14796.75
No,Yes,792.98,17346.17
No,No,1376.08,22317.57
No,No,1060.02,39757.44
No,No,532.33,30851.28
No,No,0.00,28711.76
No,Yes,894.13,24670.12
No,No,906.44,37309.68
No,No,0.00,28727.12
No,No,506.43,35333.18
No,Yes,943.50,14123.70
No,Yes,0.00,14874.80
No,No,442.49,54996.84
No,Yes,380.96,20117.83
No,No,962.00,37073.19
Yes,No,1789.09,48331.13
No,No,76.48,27283.69
No,No,1067.14,53995.73
No,No,0.00,39592.44
No,No,253.13,40973.65
No,No,1056.93,55409.46
No,No,179.70,37727.54
No,Yes,990.94,18197.23
No,No,693.75,36723.45
No,No,965.28,37705.24
No,No,300.88,51423.69
No,No,1265.04,47297.72
No,No,558.67,40335.61
No,No,1183.98,53599.75
No,Yes,1165.84,20495.16
No,Yes,1542.19,17265.92
No,Yes,587.77,22669.42
No,No,0.00,31005.04
No,No,389.98,27329.98
No,No,647.08,55522.62
No,No,70.98,40012.53
No,Yes,115.55,12670.03
No,No,90.93,42451.74
No,No,1230.42,51716.74
No,No,201.56,27924.85
No,Yes,1562.85,10353.90
No,Yes,622.90,11019.88
No,Yes,1142.13,9184.73
No,Yes,1796.27,21126.18
No,No,947.42,38505.78
No,No,419.44,34332.66
No,No,1660.83,53754.20
No,No,391.24,24972.25
No,No,613.43,34745.01
No,Yes,1024.11,18667.93
No,Yes,0.00,25976.07
No,No,1252.96,33876.19
No,No,708.84,55675.76
No,No,266.65,16515.31
No,Yes,1339.36,19496.17
No,No,781.60,49457.11
No,Yes,1021.37,19032.51
No,No,948.49,40739.86
No,Yes,1312.93,20208.54
No,No,0.00,50861.79
No,No,0.00,24566.48
No,No,0.00,30922.60
No,Yes,859.34,13993.65
No,No,646.16,45696.83
Yes,Yes,1707.91,10591.72
No,No,133.67,28492.40
No,Yes,80.60,16145.64
No,Yes,631.60,17845.07
No,No,1236.62,40668.73
No,No,742.58,40085.44
No,Yes,97.03,12731.76
No,No,1054.22,50900.24
No,No,959.60,29850.21
No,No,1258.85,33683.18
No,No,443.25,36547.16
No,No,1605.10,26126.33
No,No,0.00,25964.84
No,No,832.65,25106.37
No,Yes,443.54,19632.18
No,No,817.43,40088.05
No,No,881.66,43726.00
No,No,1154.09,48400.24
No,Yes,961.58,9681.49
No,Yes,516.12,17538.46
No,Yes,1357.41,22572.79
No,No,1036.03,35261.36
No,Yes,900.61,17802.93
No,No,1516.33,46393.26
No,Yes,1015.20,22208.33
No,No,232.11,40368.96
No,Yes,1082.28,19451.82
No,No,682.44,17992.97
No,Yes,1218.14,18144.98
No,No,802.41,47444.49
No,No,143.85,38014.87
No,No,1087.47,32908.53
No,Yes,895.75,14753.30
No,No,660.29,58956.51
No,Yes,630.97,19087.17
No,Yes,1648.97,15402.48
No,Yes,975.96,18246.82
No,No,297.01,22955.08
No,No,0.00,47328.23
No,No,0.00,32629.94
No,Yes,789.21,18231.83
Yes,No,1804.04,31318.30
No,No,1266.11,29698.52
No,Yes,135.19,20414.41
No,No,28.81,36941.06
No,Yes,0.00,15347.91
No,No,750.70,49150.35
No,No,805.31,57386.13
No,No,1093.80,29573.24
No,No,483.97,44335.96
No,Yes,1534.39,19592.11
No,No,1349.19,48013.69
No,No,158.57,20575.47
No,Yes,172.46,25850.38
No,No,1280.76,53675.57
No,Yes,213.17,22811.46
No,No,0.00,32248.54
No,Yes,704.01,13903.46
No,No,708.81,38295.23
No,No,257.40,49477.79
No,Yes,1188.74,22867.07
No,No,0.00,62886.71
No,No,1321.70,45581.79
No,Yes,882.58,17749.97
No,Yes,1418.13,11964.43
No,No,1245.42,36897.78
No,No,339.53,58747.39
No,Yes,824.55,29088.11
No,No,241.44,30171.62
No,No,1510.79,47684.24
No,No,396.64,52174.95
No,Yes,1633.70,15786.32
No,No,650.42,47122.07
No,Yes,1382.44,15680.61
No,No,613.48,24367.86
No,No,1424.35,37846.00
No,Yes,914.11,19053.01
No,Yes,802.01,15469.65
No,Yes,539.67,18852.27
No,No,337.58,52192.27
No,Yes,813.49,16681.35
No,No,477.88,39834.03
No,No,342.19,32154.75
No,No,840.37,45316.84
No,Yes,865.57,16643.24
No,No,645.59,44402.11
No,No,1755.39,35031.53
No,No,498.75,51690.06
No,No,587.78,30859.64
No,Yes,824.62,10062.58
No,No,0.00,32660.73
No,Yes,880.80,20436.44
No,No,917.12,48227.82
No,Yes,789.72,19280.54
No,No,763.86,52938.04
No,Yes,1062.17,17383.26
No,No,944.33,44444.15
No,No,877.50,25587.74
No,No,1344.10,41417.35
Yes,Yes,1543.10,18304.65
No,No,380.32,38864.58
No,Yes,1176.89,23634.82
No,No,733.20,34524.92
No,No,349.00,48942.03
No,Yes,1380.09,19245.83
No,No,943.17,40369.70
No,No,1248.89,51897.39
No,No,713.22,51107.86
No,No,834.24,36721.86
No,No,0.00,26200.04
No,No,1558.88,37489.72
No,No,1362.19,37736.75
No,No,1581.52,45729.89
No,No,324.85,39752.35
No,No,1112.74,47527.13
No,No,379.60,32578.44
No,No,1549.10,26239.78
No,No,1489.42,46732.77
No,No,548.21,41647.73
No,No,561.97,37637.01
No,No,595.49,34470.42
No,No,267.51,27364.87
No,Yes,1793.30,21034.88
No,Yes,1773.15,10177.87
No,No,618.86,37333.33
No,No,205.64,37766.49
No,No,1011.43,36364.75
No,No,0.00,38130.65
No,Yes,1154.43,15221.17
No,No,292.52,43705.38
No,Yes,1106.95,19233.77
Yes,No,1665.95,30070.14
No,Yes,968.67,22212.74
No,No,797.25,39928.59
No,Yes,636.90,18620.24
No,Yes,1011.33,14101.29
No,No,791.04,47303.68
No,No,942.47,36965.05
No,No,706.97,46165.15
No,No,767.43,55990.87
No,No,568.84,37074.54
No,Yes,1271.56,18999.62
No,No,938.94,44280.79
No,No,1012.19,34631.71
No,No,1355.49,18935.51
No,No,912.05,43486.96
No,No,289.60,25724.77
Yes,Yes,2035.86,14435.84
No,Yes,1602.18,17858.07
No,Yes,0.00,20067.81
No,Yes,1202.39,14036.62
No,No,554.71,28164.20
No,Yes,229.99,2541.20
No,No,768.98,35503.91
No,Yes,1211.04,16898.13
No,No,0.00,35648.38
No,No,0.00,27537.74
No,Yes,859.94,15966.72
No,No,0.00,47556.30
No,Yes,1471.54,14959.66
No,Yes,582.87,17730.55
No,Yes,463.12,25858.28
No,No,986.15,48940.49
No,No,534.75,29685.13
No,No,1402.69,39656.63
No,No,967.75,46278.07
No,No,884.02,36889.43
No,Yes,455.70,19080.81
No,No,0.00,66915.57
No,No,1141.24,37917.66
No,No,365.24,21358.00
No,No,38.38,33579.36
No,Yes,731.97,13593.14
No,No,1006.72,47784.32
No,No,1107.80,34561.95
No,No,777.53,45673.67
No,No,1501.43,35398.96
No,Yes,862.06,12085.45
No,Yes,12.19,19910.97
No,No,0.00,30208.05
No,No,1820.33,31310.00
No,No,576.07,40179.83
No,No,837.75,31017.90
No,No,399.79,34875.33
No,Yes,578.76,20909.84
No,No,1106.54,46565.06
No,No,390.75,38442.30
No,Yes,274.19,15421.55
No,No,1476.88,42271.33
No,No,578.46,20306.94
No,No,1064.15,28192.13
No,No,1598.30,46404.66
No,No,863.45,33529.88
No,No,1157.76,32574.50
No,Yes,406.39,24086.95
No,No,309.24,44202.71
No,No,943.95,28353.63
No,No,1206.79,42916.70
No,Yes,1448.06,21028.29
No,No,1166.59,26977.62
No,No,800.31,61281.30
No,No,714.93,31032.87
No,No,471.26,28417.74
No,No,662.16,30390.06
No,No,770.43,53398.31
No,No,597.33,55496.78
No,No,140.85,48183.28
No,No,1035.55,29423.23
No,Yes,784.11,11560.57
No,Yes,442.03,17072.34
No,No,888.08,54072.66
No,No,704.20,44775.12
No,Yes,1016.45,15099.53
No,No,1036.46,42914.98
No,Yes,1060.22,22795.94
No,No,1243.93,38075.44
No,Yes,1291.98,26571.87
No,No,69.25,20222.87
No,No,196.39,29932.66
No,Yes,709.03,18305.73
No,No,1034.15,52106.84
No,No,868.01,50549.53
No,No,1236.01,48800.36
No,No,12.91,46282.26
No,Yes,826.45,21342.70
No,Yes,703.99,20752.18
No,Yes,817.12,13152.03
No,No,1210.01,45066.13
No,Yes,766.41,22296.98
No,No,1643.65,33980.83
No,No,1053.01,54009.63
No,No,240.08,41508.96
No,No,62.65,44440.71
No,Yes,924.23,11194.67
No,Yes,944.07,26027.69
No,No,295.79,51837.75
Yes,No,2085.59,35657.23
No,No,474.36,58068.62
No,No,504.72,54297.11
No,No,292.38,33961.10
No,No,593.28,40227.14
No,No,76.06,50054.76
No,Yes,1270.09,16809.01
No,No,877.34,40689.48
No,Yes,932.56,20980.81
No,No,279.96,30262.12
No,No,1155.18,40398.40
No,No,0.00,45431.76
No,Yes,1216.77,23378.57
No,Yes,0.00,15274.47
No,Yes,728.55,22891.93
No,No,0.00,48365.58
No,Yes,643.57,21323.05
No,No,973.08,27289.27
No,Yes,1177.96,14385.17
No,No,196.99,41314.99
No,No,1526.27,44845.14
No,No,441.40,56060.20
No,No,1004.64,56533.31
No,No,1258.07,36645.14
No,No,1563.99,37119.60
No,No,367.35,29905.53
No,Yes,1222.77,18276.43
No,Yes,1582.20,19682.87
No,No,647.13,32725.39
No,No,0.00,33146.50
No,Yes,1585.33,15079.49
No,Yes,837.97,25773.18
No,Yes,686.78,10543.56
No,No,947.84,37891.04
No,Yes,1205.06,18101.68
No,No,1254.13,37456.26
No,No,949.12,50528.53
No,No,530.25,27610.70
No,No,833.69,54558.14
No,No,638.47,36173.98
Yes,Yes,2387.31,28296.91
No,Yes,839.39,21383.23
No,No,294.63,63285.03
No,No,1178.18,34720.94
No,No,1149.72,57890.52
No,No,909.76,42468.28
No,Yes,1391.51,18539.59
No,Yes,1029.25,18018.36
No,No,1504.60,30773.74
No,No,1276.49,35122.85
No,No,874.92,25023.32
No,No,1104.69,51516.34
No,No,0.00,47056.20
No,No,698.80,37466.02
No,No,1055.41,33945.14
No,Yes,131.28,14491.84
No,No,795.90,44181.67
No,No,611.95,39291.20
No,No,1670.42,41409.77
No,No,1423.15,33591.23
No,No,770.64,29623.47
No,No,1315.47,29808.35
No,No,599.20,53218.11
No,No,584.36,34128.77
No,No,27.27,51659.88
No,No,65.73,32332.18
No,No,1338.46,23909.55
No,Yes,1120.42,16151.25
No,No,726.03,41996.12
No,No,1353.59,44372.79
No,No,531.74,38122.19
No,No,1824.64,36762.81
No,Yes,894.47,14035.50
No,Yes,1275.54,16445.62
No,No,550.62,19106.27
No,Yes,270.39,13158.44
No,No,652.00,35266.13
No,No,718.35,50765.89
No,No,1008.95,31235.78
No,Yes,1510.75,13390.92
No,No,1393.37,38371.98
No,No,586.59,45519.84
No,No,793.41,45873.18
No,No,285.91,43263.63
No,Yes,550.38,20322.77
No,Yes,716.49,16785.39
No,No,383.69,39946.48
No,No,252.33,38431.82
No,No,1164.10,40167.02
No,No,1080.19,38398.87
No,No,906.48,47101.99
No,No,457.80,26567.24
No,No,1215.87,42762.12
No,No,217.36,45083.11
No,Yes,1076.73,12502.64
No,Yes,58.07,23639.23
No,No,1615.23,55219.52
No,Yes,1119.00,22811.39
No,No,671.96,17621.45
No,No,634.22,38672.75
No,Yes,831.82,16164.48
No,Yes,373.06,22018.98
No,No,776.45,58481.54
No,Yes,1031.30,12195.38
No,No,910.67,43795.58
No,No,1010.81,42163.45
No,No,1090.35,48280.95
No,No,1008.55,53801.62
No,No,0.00,50127.18
No,Yes,1824.37,20074.28
No,No,730.16,44411.68
No,No,991.13,30941.55
No,No,1356.52,35030.64
No,No,576.64,41699.21
No,No,1334.55,43385.82
No,No,1487.66,47624.38
No,No,778.69,48551.97
No,No,444.20,37599.42
No,No,1023.36,34632.10
No,Yes,153.40,17840.38
No,No,661.76,47169.36
No,No,312.61,34918.61
No,No,645.37,30102.04
No,No,0.00,49010.27
No,No,779.61,22975.49
No,Yes,569.50,19755.52
No,No,1287.77,38507.12
No,No,1177.82,32294.55
No,No,795.37,25704.65
No,No,877.04,24902.74
No,No,823.99,36701.53
No,No,1019.22,52089.64
No,No,942.74,38908.88
No,No,6.79,40145.34
No,No,0.00,55158.15
No,Yes,1420.20,22790.80
No,Yes,1254.66,18189.52
No,No,0.00,37796.40
No,No,1140.07,33605.38
No,Yes,747.96,19869.39
No,No,1598.60,48717.26
No,No,1226.37,21426.31
No,No,929.82,50611.99
No,No,807.41,43853.88
No,No,345.36,56965.70
No,No,982.45,42907.03
No,Yes,1067.67,14485.95
No,No,742.54,39017.95
No,No,1060.18,30948.29
No,No,523.75,33767.05
No,No,697.98,29799.32
Yes,Yes,1500.89,15802.23
No,Yes,1682.90,14378.89
No,Yes,1264.04,6466.51
No,No,1352.46,34247.78
No,No,376.88,50671.32
No,No,629.56,37255.37
No,Yes,709.41,11355.11
No,No,541.35,42332.25
No,No,421.17,42721.48
No,No,500.80,47910.96
No,No,0.00,41663.34
No,No,1089.37,43360.16
No,No,603.85,56468.12
Yes,No,1165.54,50341.57
No,No,1457.62,43155.36
No,No,390.06,27108.21
No,No,584.14,35517.23
No,No,901.01,13498.13
No,Yes,1380.10,14142.08
No,No,1146.07,39902.44
No,No,1058.03,43327.03
No,No,474.38,35980.75
No,Yes,969.14,22425.41
No,Yes,1616.74,12557.82
No,No,1185.03,33298.50
No,No,472.63,41257.39
No,No,1257.63,30964.23
No,No,640.92,37306.69
No,No,105.74,42442.85
No,No,672.43,25947.25
No,No,568.67,45186.98
No,Yes,368.20,26670.01
No,No,1546.55,57266.83
No,No,230.22,28930.25
No,No,815.05,34200.18
No,Yes,164.31,17995.86
No,Yes,1785.80,15291.67
No,No,661.05,27873.64
No,Yes,979.88,13522.42
No,Yes,778.25,23805.91
No,Yes,190.62,21744.51
No,No,523.81,45284.19
No,No,175.70,40044.47
No,No,977.95,38368.48
No,No,837.70,44260.76
No,Yes,1436.32,27658.39
No,No,638.23,53812.80
No,No,714.01,48631.36
No,No,738.25,36086.09
No,No,507.53,58027.77
No,Yes,1033.83,15818.06
No,Yes,19.74,20514.17
No,No,434.70,48898.37
No,No,0.00,45334.84
No,No,629.76,53069.33
No,Yes,522.77,26900.28
No,Yes,294.66,11681.46
No,Yes,469.43,14647.00
No,No,838.44,40903.48
No,No,1407.64,52746.13
No,Yes,1417.23,16053.97
No,No,363.99,38110.44
No,Yes,128.25,17076.57
Yes,Yes,1894.17,28321.68
No,Yes,1624.80,10623.60
No,No,645.95,46406.34
No,No,684.08,38184.57
No,No,1168.28,46904.60
No,No,766.12,51614.06
No,Yes,738.27,14063.08
No,No,525.89,45530.51
No,No,631.25,38877.57
No,No,0.00,65943.78
No,No,913.91,53809.33
No,No,578.75,60498.93
No,No,1503.85,43888.40
No,Yes,555.27,11581.22
Yes,Yes,1289.25,13624.55
No,No,545.57,35714.65
No,No,1112.35,33468.82
No,No,564.91,35820.89
No,No,591.84,38879.51
No,Yes,908.12,22084.27
Yes,Yes,2169.20,18195.27
No,Yes,1108.11,15337.30
No,No,0.00,27167.26
No,No,957.59,35330.86
No,No,448.04,29537.31
No,No,1188.07,40704.71
No,Yes,1223.89,19520.01
No,Yes,959.97,18413.86
No,No,734.72,35010.03
No,No,0.00,47628.41
No,No,1423.28,48914.20
No,No,217.16,26975.49
No,No,672.05,36705.34
No,No,830.77,45958.98
No,No,652.53,58750.50
No,No,533.99,64930.24
No,Yes,1626.63,17721.63
No,No,1382.12,30395.69
No,No,0.00,38663.20
No,No,1165.69,38110.36
No,No,1190.42,34198.05
No,No,435.21,39505.41
No,Yes,1382.42,17166.04
No,No,1265.95,27233.56
No,No,1303.63,40010.47
No,Yes,240.10,21142.04
No,Yes,326.44,21109.43
No,No,562.80,41934.60
No,No,531.49,28836.19
No,Yes,594.54,17875.34
No,No,745.73,60180.56
No,Yes,1218.64,29899.81
No,No,266.46,37622.05
Yes,No,1899.55,46076.24
No,Yes,717.60,13729.05
No,No,507.33,56075.10
No,Yes,1422.77,14044.53
No,No,1253.70,37645.80
No,No,1301.65,38918.99
Yes,Yes,2415.32,17429.50
No,Yes,1367.01,11293.47
No,No,449.05,31624.91
No,No,505.70,31971.31
No,No,1150.46,54982.75
No,No,981.49,30385.07
No,Yes,612.27,16270.84
No,Yes,1122.29,20351.34
No,No,59.80,36000.07
No,Yes,1353.01,26207.69
No,No,1232.23,50731.86
No,No,924.01,28803.77
No,No,517.82,65501.62
No,Yes,1795.72,12547.83
No,No,983.56,26050.13
No,Yes,990.35,18998.09
No,No,1529.52,52681.71
No,No,272.87,44249.68
No,Yes,636.21,19468.43
Yes,No,1751.35,38381.59
No,No,721.92,46269.84
No,No,511.42,25768.29
No,No,563.69,41354.35
No,No,1110.72,47221.45
No,No,403.03,48874.15
No,No,430.09,29246.38
No,No,278.47,33187.77
Yes,No,2228.47,27438.35
No,No,1201.78,30099.16
No,No,490.80,44686.10
No,Yes,792.86,8699.60
No,No,870.66,37180.07
No,Yes,1149.21,11337.06
No,No,493.53,49735.57
No,Yes,874.35,10845.02
No,No,1097.95,23224.13
No,No,976.15,29998.36
No,No,1373.73,43124.21
No,Yes,1282.76,22360.20
No,No,636.73,45649.17
No,No,1823.23,24744.85
No,No,605.86,34515.20
No,No,0.00,27888.83
No,No,491.52,37128.77
No,No,248.36,37868.56
No,No,1036.50,37151.41
No,No,1130.89,35235.37
No,Yes,1048.54,10392.06
No,No,1251.89,50174.33
Yes,No,1578.85,61220.13
No,No,0.00,40341.34
No,No,1531.96,33595.43
No,No,935.47,30909.93
No,Yes,1056.18,16873.51
No,Yes,1060.78,21430.79
No,No,253.85,41472.12
No,No,323.12,36119.43
No,No,1051.22,31749.64
No,Yes,925.95,14258.27
No,Yes,831.24,13703.00
No,No,280.84,56567.01
No,Yes,1092.34,20465.15
No,No,702.28,49708.96
No,No,663.10,32756.26
No,No,224.74,25386.99
No,No,1108.68,60725.53
No,Yes,0.00,20071.82
No,No,352.80,36751.98
No,Yes,1390.19,21735.25
No,No,599.65,32471.22
No,No,514.55,45763.90
No,Yes,484.89,15883.66
No,No,278.72,49231.19
No,No,661.06,35806.05
No,No,1110.30,27501.12
No,No,1306.26,29376.44
Yes,Yes,1966.06,17735.78
No,No,588.56,33224.44
No,No,0.00,42869.16
No,No,1289.60,35164.89
No,No,1054.28,50795.21
No,No,0.00,43513.11
No,No,897.81,37899.67
No,Yes,673.79,13344.86
No,No,636.34,49487.60
No,No,412.07,48347.30
Yes,No,1898.32,61011.22
No,No,1606.40,27382.33
No,No,0.00,41040.20
No,Yes,0.00,20157.25
No,No,486.38,53051.72
No,No,1738.11,38821.63
No,No,0.00,62746.84
No,No,355.94,34730.89
No,No,0.00,24818.36
No,Yes,1925.99,20441.67
No,No,819.11,55716.55
No,Yes,588.76,24015.96
No,No,975.57,28804.00
No,No,127.16,40727.55
No,No,713.44,48176.43
No,No,737.72,48994.81
No,Yes,687.06,14059.46
No,No,444.51,41957.74
No,No,1061.28,32839.34
No,No,1425.50,37189.03
No,Yes,638.26,21282.65
No,Yes,1101.44,20936.93
No,No,888.24,41489.19
No,No,951.21,20616.08
No,Yes,1152.10,15852.42
No,No,883.16,27125.91
No,No,1126.99,47378.02
No,No,742.82,34353.49
No,Yes,1532.12,19462.15
No,Yes,266.77,28452.60
No,Yes,310.43,16479.99
No,No,1702.30,46589.06
No,No,649.78,39655.40
No,No,648.32,45392.28
No,No,995.27,24782.88
No,No,330.07,45757.38
No,No,1358.57,20700.71
Yes,No,1166.80,30367.61
No,No,671.67,26142.91
No,Yes,484.09,12045.31
No,No,1404.63,47712.18
No,No,617.00,54489.74
No,Yes,964.62,21436.56
No,No,466.58,24719.40
No,No,618.80,25927.57
No,No,1310.95,28978.46
No,No,123.93,28311.83
No,No,786.26,45304.79
No,No,748.21,46981.93
Yes,Yes,2124.49,12651.07
No,Yes,326.39,16988.92
No,Yes,474.88,14986.64
No,No,59.97,24889.25
No,No,1611.33,47894.28
No,No,545.61,27236.56
No,No,0.00,46590.44
No,No,1249.35,52232.25
No,Yes,587.87,18448.10
Yes,No,1302.73,43680.07
No,Yes,908.37,27416.62
No,Yes,1252.13,13860.94
No,No,277.17,37177.04
No,No,623.57,57483.50
No,No,943.20,41765.14
No,Yes,1815.45,18919.42
No,Yes,927.42,20498.53
Yes,Yes,2008.03,18601.40
No,No,1028.24,31297.96
No,No,408.24,51131.51
No,No,1355.44,42630.67
No,Yes,376.77,16042.24
No,No,856.48,69124.27
No,No,1110.74,43991.92
No,No,437.81,27855.75
No,No,1013.71,60574.81
Yes,No,1922.83,56202.58
No,No,1066.79,49629.90
No,No,465.55,33998.85
No,No,899.48,36361.98
No,No,592.80,34355.91
